,bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,year,number_of_books
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr̩,4.57,439785960,9.78044E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,2006,6
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr̩,4.49,439358078,9.78044E+12,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,2004,6
2,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr̩,4.56,043965548X,9.78044E+12,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,2004,6
3,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr̩,4.78,439682584,9.78044E+12,eng,2690,41428,164,9/13/2004,Scholastic,2004,6
4,15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPr̩,4.42,439064864,9.78044E+12,eng,341,2293963,34692,6/2/1999,Arthur A. Levine Books / Scholastic Inc.,1999,6
5,34318,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling/Mary GrandPr̩,4.47,786222727,9.78079E+12,eng,424,147,13,11/12/1999,Thorndike Press Large Print,1999,6
6,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78044E+12,eng,352,6333,244,11/1/2003,Scholastic,2003,6
7,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78044E+12,eng,3342,28242,808,9/12/2005,Scholastic,2005,6
8,2002,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,043932162X,9.78044E+12,eng,240,11515,139,11/1/2001,Arthur A. Levine,2001,6
9,2005,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,747584664,9.78075E+12,eng,768,1213,78,6/23/2006,Bloomsbury Publishing,2006,6
10,4256,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,074757362X,9.78075E+12,eng,480,3141,140,7/1/2008,Bloomsbury UK,2008,6
11,43509,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56,074754624X,9.78075E+12,eng,636,18754,906,7/8/2000,Bloomsbury,2000,6
12,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78052E+12,eng,815,3628,254,11/1/2005,Gramercy Books,2005,14
13,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78035E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,2002,14
14,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.7814E+12,eng,215,4930,460,8/3/2004,Crown,2004,14
15,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9.78052E+12,eng,815,2877,195,1/17/1996,Wings Books,1996,14
16,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9.78067E+12,eng,307,67803,1401,2/15/1991,Pocket Books,1991,14
17,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,9.78035E+12,eng,298,22091,746,4/26/2005,Del Rey,2005,14
18,2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,1597770078,9.7816E+12,eng,6,58,15,9/30/2005,Phoenix Audio,2005,14
19,8694,Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy  #3),Douglas Adams,4.2,345418905,9.78035E+12,eng,224,166574,2192,4/26/2005,Del Rey,2005,14
20,8698,So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09,330491237,9.78033E+12,eng,167,93997,1394,3/8/2002,Picador USA,2002,14
21,8706,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,330491199,9.78033E+12,eng,180,3115,306,3/8/2002,Picador USA,2002,14
22,8710,The Illustrated Hitchhiker's Guide To The Galaxy,Douglas Adams,4.35,517599244,9.78052E+12,eng,96,294,19,10/11/1994,Harmony,1994,14
23,17059,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide  #1),Douglas Adams,4.22,1400052939,9.7814E+12,eng,271,212,18,10/19/2004,Crown Publishing Group (NY),2004,14
24,17707,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,671746065,9.78067E+12,eng,216,2796,242,5/1/1991,Pocket Books,1991,14
25,33342,The More Than Complete Hitchhiker's Guide (Hitchhiker's Guide  #1-4 + short story),Douglas Adams,4.58,681403225,9.78068E+12,eng,624,433,34,11/1/1989,Longmeadow Press,1989,14
26,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9.78074E+12,eng,6,1266,253,3/23/2005,Random House Audio,2005,1
27,21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78077E+12,eng,544,248558,9396,9/14/2004,Broadway Books,2004,20
28,22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78077E+12,eng,55,7270,499,12/3/2002,Broadway Books,2002,20
29,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9.78077E+12,eng,256,2088,131,9/14/2004,Broadway Books,2004,20
30,24,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78077E+12,eng,335,72451,4245,5/15/2001,Broadway Books,2001,20
31,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78077E+12,eng,304,49240,2211,6/28/2000,Broadway Books,2000,20
32,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78006E+12,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,1990,20
33,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9.78038E+12,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,1993,20
34,28,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78038E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,1997,20
35,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9.78038E+12,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,1991,20
36,3870,A Short History of Nearly Everything,Bill Bryson,4.21,767923227,9.78077E+12,eng,624,352,37,11/1/2005,Broadway Books,2005,20
37,9789,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,767902521,9.78077E+12,eng,284,4315,532,5/4/1999,Broadway Books,1999,20
38,9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,307279464,9.78031E+12,eng,397,308840,14993,12/26/2006,Anchor Books,2006,20
39,10539,The Lost Continent:  Travels in Small-town America,Bill Bryson,3.83,552998087,9.78055E+12,eng,379,729,78,1/2/1999,Black Swan,1999,20
40,10541,Made in America: An Informal History of the English Language in the United States,Bill Bryson,3.91,380713810,9.78038E+12,eng,364,10836,613,10/23/2001,Avon Books,2001,20
41,20241,Bill Bryson's African Diary,Bill Bryson,3.44,385605145,9.78039E+12,eng,63,264,22,12/2/2002,Doubleday,2002,20
42,42876,Down Under,Bill Bryson,4.07,055299703X,9.78055E+12,eng,398,4510,392,8/6/2001,Black Swan,2001,20
43,42878,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,767902513,9.78077E+12,eng,276,1405,266,5/4/1998,Bantam Doubleday Dell Publishing Group,1998,20
44,42882,The Life and Times of the Thunderbolt Kid: A Memoir,Bill Bryson,3.94,767919378,9.78077E+12,eng,268,1329,250,9/25/2007,Broadway Books,2007,20
45,42883,Bill Bryson: The Complete Notes,Bill Bryson,4.09,038560131X,9.78039E+12,eng,544,901,36,10/5/2000,Doubleday,2000,20
46,42891,Journeys in English,Bill Bryson,3.72,563496266,9.78056E+12,eng,3,510,60,2/2/2004,BBC Physical Audio,2004,20
47,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78035E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,2012,17
48,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9.78062E+12,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,2004,17
49,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78062E+12,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,2003,17
50,2331,The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618574999,9.78062E+12,eng,1438,232,9,6/1/2005,Mariner Books,2005,17
51,5898,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,7136587,9.78001E+12,eng,1200,682,43,9/16/2002,Not Avail,2002,17
52,5907,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,618260307,9.78062E+12,eng,366,2530894,32871,8/15/2002,Houghton Mifflin,2002,17
53,5911,Poems From The Hobbit,J.R.R. Tolkien,4.3,618009345,9.78062E+12,eng,57,169,5,12/13/1999,Houghton Mifflin Harcourt,1999,17
54,5912,The Hobbit: Or There and Back Again,J.R.R. Tolkien,4.27,1594130051,9.78159E+12,eng,481,276,43,9/1/2003,Large Print Press,2003,17
55,5915,The Hobbit,J.R.R. Tolkien,4.27,261103288,9.78026E+12,eng,277,3213,329,9/17/2007,HarperCollins,2007,17
56,7348,Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,J.R.R. Tolkien,4.05,7105045,9.78001E+12,eng,150,2357,97,2/5/2001,HarperCollins Publishers Ltd,2001,17
57,15245,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,7171994,9.78001E+12,eng,554,265,5,11/6/2003,HarperCollins Publishers Ltd,2003,17
58,15298,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,618574972,9.78062E+12,eng,508,1635,74,6/1/2005,Mariner Books,2005,17
59,15331,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618574948,9.78062E+12,eng,506,1323,121,6/1/2004,Houghton Mifflin Company,2004,17
60,15336,The Lord of the Rings / The Hobbit,J.R.R. Tolkien,4.59,7144083,9.78001E+12,eng,1600,141,5,10/7/2002,Collins Modern Classics,2002,17
61,15373,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,965307794,9.78097E+12,eng,440,202,10,1/1/2001,Quality Paperback Book Club,2001,17
62,15407,The Lord of the Rings Millennium Edition Boxed Set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618037667,9.78062E+12,eng,1472,120,5,10/10/1999,Houghton Mifflin,1999,17
63,23603,Tales from the Perilous Realm,J.R.R. Tolkien,4.08,7149123,9.78001E+12,eng,178,3242,162,9/2/2002,HarperCollins Publishers,2002,17
64,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9.78062E+12,eng,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,2002,2
65,23653,The Hobbit  or  There and Back Again,J.R.R. Tolkien/Alan  Lee,4.27,026110330X,9.78026E+12,eng,289,559,55,9/15/1997,Houghton Mifflin Company,1997,2
66,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78062E+12,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,2003,1
67,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78062E+12,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,2004,2
68,15216,Sorcery Rising (Fool's Gold  #1),Jude Fisher,3.56,756401100,9.78076E+12,eng,528,1313,52,7/1/2003,DAW,2003,2
69,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78098E+12,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,2005,1
70,50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9.78069E+12,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,2000,6
71,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9.78039E+12,eng,144,2067,334,1/23/2001,Delacorte Press,2001,6
72,2917,How Angel Peterson Got His Name,Gary Paulsen,3.93,440229359,9.78044E+12,eng,111,1177,218,8/10/2004,Yearling,2004,6
73,2920,Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,4.44,440419670,9.78044E+12,eng,560,557,46,9/9/2003,Yearling,2003,6
